Metric,Value
Total_Trades,1
Winning_Trades,1
Losing_Trades,0
Win_Rate_Percent,100.0
Average_Win_Percent,34.67968454526971
Average_Loss_Percent,0
Profit_Factor,inf
Average_Days_Held,453.0
Best_Trade_Percent,34.67968454526971
Worst_Trade_Percent,34.67968454526971
Long_Trades,1
Long_Win_Rate,100.0
Short_Trades,0
Short_Win_Rate,0
Total_PnL_Percent,34.67968454526971
Total_Weight_Impact,0.34679684545269707
Portfolio_Return_Sum,0.34679684545269707
Portfolio_Return_Approx_Compound,0.34679684545269707
Stop_Loss_Triggers,0
Stop_Loss_Percentage,Disabled
Stop_Loss_Count,0
Avg_Stop_Loss_Days,0
Avg_Stop_Loss_PnL,0
