Metric,Value
Total_Trades,1
Winning_Trades,1
Losing_Trades,0
Win_Rate_Percent,100.0
Average_Win_Percent,76.8131949492019
Average_Loss_Percent,0
Profit_Factor,inf
Average_Days_Held,362.0
Best_Trade_Percent,76.8131949492019
Worst_Trade_Percent,76.8131949492019
Long_Trades,1
Long_Win_Rate,100.0
Short_Trades,0
Short_Win_Rate,0
Total_PnL_Percent,76.8131949492019
Total_Weight_Impact,0.768131949492019
Portfolio_Return_Sum,0.768131949492019
Portfolio_Return_Approx_Compound,0.7681319494920191
Stop_Loss_Triggers,0
Stop_Loss_Percentage,Disabled
Stop_Loss_Count,0
Avg_Stop_Loss_Days,0
Avg_Stop_Loss_PnL,0
