Asset,Strategy,Trade_Type,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Entry_Weight,Days_Held,PnL_Percent,Weight_Impact,Trade_Result,Daily_Contributions,Status,Stop_Loss_Exit
ETH-USD,alpha003,LONG,2024-04-05,2024-05-28,3318.88525390625,3840.25634765625,1.0,53,10.504486753423153,0.10504486753423153,WIN,53,,False
BTC-USD,alpha003,LONG,2024-04-06,2024-05-23,68896.109375,67929.5625,0.5,47,2.354072395750695,0.011770361978753474,WIN,47,,False
BTC-USD,alpha003,LONG,2024-05-24,2024-11-09,68526.1015625,76778.8671875,0.5,169,14.720686269481487,0.07360343134740743,WIN,169,,False
ETH-USD,alpha003,LONG,2024-05-29,2025-02-28,3763.196533203125,2237.9052734375,0.5,275,-26.509205102256985,-0.13254602551128492,LOSS,270,,False
BTC-USD,alpha003,LONG,2024-11-10,2025-02-23,80474.1875,96273.921875,0.5,105,13.801817837168851,0.06900908918584425,WIN,101,,False
BTC-USD,alpha003,LONG,2025-02-24,2025-06-28,91418.171875,107327.703125,0.5,124,19.86618738195496,0.09933093690977479,WIN,124,OPEN,False
ETH-USD,alpha003,LONG,2025-03-01,2025-06-28,2216.643310546875,2437.109375,0.5,119,21.793614198797762,0.10896807099398881,WIN,119,OPEN,False
