Metric,Value
Total_Trades,2
Winning_Trades,1
Losing_Trades,1
Win_Rate_Percent,50.0
Average_Win_Percent,58.23627265757623
Average_Loss_Percent,-4.298769428120119
Profit_Factor,13.547196152607642
Average_Days_Held,453.0
Best_Trade_Percent,58.23627265757623
Worst_Trade_Percent,-4.298769428120119
Long_Trades,2
Long_Win_Rate,50.0
Short_Trades,0
Short_Win_Rate,0
Total_PnL_Percent,53.93750322945611
Total_Weight_Impact,0.26968751614728054
Portfolio_Return_Sum,0.26968751614728054
Portfolio_Return_Approx_Compound,0.2696875161472805
Stop_Loss_Triggers,0
Stop_Loss_Percentage,Disabled
Stop_Loss_Count,0
Avg_Stop_Loss_Days,0
Avg_Stop_Loss_PnL,0
