Metric,Value
Total_Trades,7
Winning_Trades,6
Losing_Trades,1
Win_Rate_Percent,85.71428571428571
Average_Win_Percent,13.840144139429484
Average_Loss_Percent,-26.509205102256985
Profit_Factor,3.132529418224873
Average_Days_Held,127.42857142857143
Best_Trade_Percent,21.793614198797762
Worst_Trade_Percent,-26.509205102256985
Long_Trades,7
Long_Win_Rate,85.71428571428571
Short_Trades,0
Short_Win_Rate,0
Total_PnL_Percent,56.53165973431992
Total_Weight_Impact,0.3351807324387154
Portfolio_Return_Sum,0.3351807324387154
Portfolio_Return_Approx_Compound,0.33518073243871527
Stop_Loss_Triggers,0
Stop_Loss_Percentage,Disabled
Stop_Loss_Count,0
Avg_Stop_Loss_Days,0
Avg_Stop_Loss_PnL,0
