Asset,Strategy,Trade_Type,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Entry_Weight,Days_Held,PnL_Percent,Weight_Impact,Trade_Result,Status,Daily_Contributions,Stop_Loss_Exit
BTC-USD,alpha998,LONG,2024-04-01,2025-06-28,69702.1484375,107327.703125,0.5,453,58.23627265757623,0.29118136328788113,WIN,OPEN,453,False
ETH-USD,alpha998,LONG,2024-04-01,2025-06-28,3505.030029296875,2437.109375,0.5,453,-4.298769428120119,-0.021493847140600597,LOSS,OPEN,453,False
